step,mode,source_csv,symbol,test_days,total_return_pct,cagr_pct,sharpe,max_dd_pct,win_rate,avg_daily_ret,vol_annual,num_trades,avg_hold_days,status,reason
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_3scale_SOXL.csv,SOXL,63,70.99678237224438,754.971727545602,3.3513426420589383,-18.578556315394977,0.5873015873015873,0.0083306804769985,0.6264150534347847,62.0,31.0,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_h01_SOXL.csv,SOXL,63,-17.800319387803786,-54.345822777856824,-0.4110156159823294,-34.30909435582521,0.5238095238095238,-0.001375091748003525,0.8430899144031214,63.0,63.0,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_h02_SOXL.csv,SOXL,63,-5.3097847090123995,-19.606596357813288,-0.20413287993628204,-30.609000556650557,0.3968253968253968,-0.0006369131955155325,0.786262974000138,63.0,63.0,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_h03_SOXL.csv,SOXL,63,4.281283606749375,18.256623078405056,0.29970251378351914,-31.005002860725163,0.47619047619047616,0.0009651839170067134,0.8115592492540082,61.0,30.5,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_bnf_3scale_SOXL.csv,SOXL,63,2.903449355542209,12.129460029304706,0.16980933223167435,-28.45593783381166,0.5396825396825397,0.00047421844783533033,0.7037484176161931,62.0,31.0,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_bnf_h01_SOXL.csv,SOXL,63,3.287746150583426,13.81387318837577,0.5140533741788108,-6.726155127105327,0.47619047619047616,0.000389609266468871,0.1909948267667699,59.0,11.8,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_bnf_h02_SOXL.csv,SOXL,63,-50.81116800735842,-94.1458204163424,-2.3419851834170973,-58.1000387512131,0.49206349206349204,-0.009909594150792856,1.0662824614271085,63.0,63.0,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_mix_3scale_SOXL.csv,SOXL,63,-2.283896864943802,-8.827354449135017,-0.0662795265334371,-25.978790773022908,0.5079365079365079,-0.00020053868524071592,0.7624639360567222,63.0,63.0,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_mix_h01_SOXL.csv,SOXL,63,-7.088968918515681,-25.480639586152865,-0.44491319878618374,-15.967532168449338,0.49206349206349204,-0.0005909758711976347,0.3347302798570711,62.0,31.0,ok,split=test
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_mix_h02_SOXL.csv,SOXL,63,16.784530253749864,86.01213298623253,0.8942167986606898,-38.58585158854926,0.5079365079365079,0.0039713473221236984,1.1191687817474312,63.0,63.0,ok,split=test
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/stepF_daily_log_router_SOXL.csv,SOXL,63,10.432980183858277,48.72883270506343,1.4079511680756893,-12.752097925479633,0.5396825396825397,0.0019885004061487794,0.35590872305207244,61.0,20.333333333333332,ok,split=test
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/stepF_daily_log_marl_SOXL.csv,SOXL,63,10.432980183858277,48.72883270506343,1.4079511680756893,-12.752097925479633,0.5396825396825397,0.0019885004061487794,0.35590872305207244,61.0,20.333333333333332,ok,split=test
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/stepF_daily_log_router_SOXL.csv,SOXL,63,10.432980183858277,48.72883270506343,1.4079511680756893,-12.752097925479633,0.5396825396825397,0.0019885004061487794,0.35590872305207244,61.0,20.333333333333332,ok,split=test
StepA,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepA/sim/stepA_prices_test_SOXL.csv,SOXL,63,,,,,,,,,,ok,date>=2022-01-03
