step,mode,source_csv,test_days,total_return_pct,max_drawdown,sharpe,win_rate,avg_ret,std_ret
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_all_features_3scale_SOXL.csv,63,-0.45395835361213754,-0.5808031635751338,-1.543094547897975,0.49206349206349204,-0.007070804143228399,0.07274054343997735
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_all_features_h01_SOXL.csv,63,-0.25416126963637753,-0.35495616136307206,-1.4583189736523385,0.47619047619047616,-0.003883241018417126,0.04227095800554086
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_all_features_h02_SOXL.csv,63,-0.6056782369025993,-0.6113687670946084,-3.2492820135371137,0.42857142857142855,-0.012922197212612941,0.06313195359713651
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_all_features_h03_SOXL.csv,63,-0.6217373151156106,-0.6423502732463924,-3.3753854650799724,0.4444444444444444,-0.013500951724829121,0.06349525604609442
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_bnf_3scale_SOXL.csv,63,-0.5761740410771432,-0.5761740410771432,-2.825518065361532,0.3968253968253968,-0.011646952406163246,0.06543565934250103
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_bnf_h01_SOXL.csv,63,-0.27047876781588176,-0.39476626081916233,-1.2828564830593014,0.49206349206349204,-0.00395753437150565,0.04897189306955502
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_bnf_h02_SOXL.csv,63,-0.5959516104576278,-0.6007100075696925,-3.133178297859023,0.4444444444444444,-0.01251888481460303,0.06342796884671811
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_bnf_h03_SOXL.csv,63,-0.5602883983063911,-0.5602883983063911,-2.9487982088829394,0.3968253968253968,-0.011331319868091546,0.06100082597741211
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_mix_3scale_SOXL.csv,63,-0.5488974386002796,-0.5488974386002796,-2.575893856476759,0.3968253968253968,-0.010653721129832162,0.06565588075633727
StepE,sim,C:/work/apex_work/runs/20260228_155646/output/stepE/sim/stepE_daily_log_dprime_mix_h01_SOXL.csv,63,-0.6137193935293789,-0.6137193935293789,-3.05062894143682,0.36507936507936506,-0.012968023344116748,0.06748149071539321
StepF,sim,C:/work/apex_work/runs/20260228_155646/output/stepF/sim/stepF_daily_log_marl_SOXL.csv,63,-0.5140553611104512,-0.515078214690703,-2.8839956346045263,0.4126984126984127,-0.010071899633326128,0.0554392135827994
StepF,sim,C:/work/apex_work/runs/20260228_155646/output/stepF/sim/stepF_equity_marl_SOXL.csv,63,-0.5140553611104512,-0.515078214690703,-2.8839956346045263,0.4126984126984127,-0.010071899633326128,0.0554392135827994
