step,mode,source_csv,test_days,total_return_pct,max_drawdown,sharpe,win_rate,avg_ret,std_ret
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_3scale_SOXL.csv,63,-0.021376008275812874,-0.40296008627297464,0.7105403740290696,0.47619047619047616,0.003419481090224736,0.07639619288335503
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_h01_SOXL.csv,63,0.008028329390947109,-0.3606711716993525,0.35873823115084014,0.5238095238095238,0.0015710896629560227,0.06952221159530889
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_h02_SOXL.csv,63,-0.3644966580380409,-0.37564801510678425,-1.2452143708781591,0.5238095238095238,-0.005595532932261191,0.07133416833855531
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_all_features_h03_SOXL.csv,63,0.3252609192041407,-0.34345143738749584,1.6931252495704363,0.5396825396825397,0.008403393700044887,0.07878905558201262
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_bnf_3scale_SOXL.csv,63,-0.19319065680408876,-0.5155887368050063,0.1274655014981708,0.49206349206349204,0.0006410354696969686,0.07983432761596279
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_bnf_h01_SOXL.csv,63,-0.41214374070623283,-0.608196048523329,-1.3713877035861979,0.42857142857142855,-0.0054976877344580875,0.0636385224684288
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_bnf_h02_SOXL.csv,63,-0.42107136100205045,-0.5521017632764691,-1.2293928941541958,0.4603174603174603,-0.005358172654116623,0.06918728288710002
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_mix_3scale_SOXL.csv,63,0.3250745545342093,-0.33770752424204975,1.7332011260339808,0.5555555555555556,0.0080701919383334,0.07391544090528084
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_mix_h01_SOXL.csv,63,-0.31761355890303455,-0.5017937165664266,-0.6210934773177588,0.49206349206349204,-0.002831885380943253,0.07238006580045303
StepE,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepE/sim/stepE_daily_log_dprime_mix_h02_SOXL.csv,63,-0.4594565611942243,-0.5653473326082588,-1.3909158051700599,0.4444444444444444,-0.006287831199678783,0.07176295320737539
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/reward_legacy/stepF_daily_log_marl_SOXL.csv,63,-0.10236140444639252,-0.2651854979593703,-0.27444973665467215,0.42857142857142855,-0.0007732813976270487,0.044727540201677816
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/reward_legacy/stepF_daily_log_router_SOXL.csv,63,-0.10236140444639252,-0.2651854979593703,-0.27444973665467215,0.42857142857142855,-0.0007732813976270487,0.044727540201677816
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/reward_legacy/stepF_equity_marl_SOXL.csv,63,-0.10236140444639252,-0.2651854979593703,-0.27444973665467215,0.42857142857142855,-0.0007732813976270487,0.044727540201677816
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/reward_profit_basic/stepF_daily_log_marl_SOXL.csv,63,-0.10645321185124657,-0.27587717558410974,-0.18611321416088575,0.5079365079365079,-0.0005774614785006854,0.04925451867738183
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/reward_profit_basic/stepF_daily_log_router_SOXL.csv,63,-0.10645321185124657,-0.27587717558410974,-0.18611321416088575,0.5079365079365079,-0.0005774614785006854,0.04925451867738183
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/reward_profit_basic/stepF_equity_marl_SOXL.csv,63,-0.10645321185124657,-0.27587717558410974,-0.18611321416088575,0.5079365079365079,-0.0005774614785006854,0.04925451867738183
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/stepF_daily_log_marl_SOXL.csv,63,-0.10236140444639252,-0.2651854979593703,-0.27444973665467215,0.42857142857142855,-0.0007732813976270487,0.044727540201677816
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/stepF_daily_log_router_SOXL.csv,63,-0.10236140444639252,-0.2651854979593703,-0.27444973665467215,0.42857142857142855,-0.0007732813976270487,0.044727540201677816
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/stepF_equity_marl_SOXL.csv,63,-0.10236140444639252,-0.2651854979593703,-0.27444973665467215,0.42857142857142855,-0.0007732813976270487,0.044727540201677816
StepF,sim,C:/work/apex_work/output/sim/SOXL/2022-01-03/stepF/sim/stepF_ratio_live_retrain_off_SOXL.csv,2015,,,,,,
