step,mode,source_csv,test_days,total_return_pct,max_drawdown,sharpe,win_rate,avg_ret,std_ret
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_all_features_3scale_SOXL.csv,63,-0.44925381186672875,-0.5683415148167794,-1.5334433636110214,0.47619047619047616,-0.006955689262545161,0.07200666587020399
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_all_features_h01_SOXL.csv,63,-0.2212133176683001,-0.31708275052785395,-1.495483350890976,0.49206349206349204,-0.0034162532360318804,0.03626341867106053
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_all_features_h02_SOXL.csv,63,-0.6033579492580763,-0.6057353914471546,-3.2495558114014846,0.4126984126984127,-0.012852183478470464,0.06278460798038848
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_all_features_h03_SOXL.csv,63,-0.5558428407551006,-0.5585601777644225,-2.971449678609056,0.38095238095238093,-0.011150848369912371,0.05957167353004932
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_bnf_3scale_SOXL.csv,63,-0.4178918354891259,-0.43890358295181076,-1.8218670503837668,0.4603174603174603,-0.006941763884011412,0.06048579964170913
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_bnf_h01_SOXL.csv,63,-0.2285991891268936,-0.3531278578617606,-1.2491542742871873,0.5079365079365079,-0.0033459524513870876,0.042521047722798334
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_bnf_h02_SOXL.csv,63,-0.5019882716375523,-0.5019882716375523,-2.5483584269619923,0.4444444444444444,-0.009475552536998055,0.05902612901524449
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_bnf_h03_SOXL.csv,63,-0.5762000400695113,-0.5762000400695113,-3.0957429691966456,0.4126984126984127,-0.011908164240017022,0.06106328877537289
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_mix_3scale_SOXL.csv,63,-0.5970865874939661,-0.5970865874939661,-2.9412751767542753,0.4126984126984127,-0.012363292068512811,0.06672656089683843
StepE,sim,C:/work/apex_work/runs/20260225_101918/output/stepE/sim/stepE_daily_log_dprime_mix_h01_SOXL.csv,63,-0.5986514365822502,-0.5986514365822502,-2.9570115452056367,0.3968253968253968,-0.012419926526952552,0.06667549934721431
StepF,sim,C:/work/apex_work/runs/20260225_101918/output/stepF/sim/stepF_daily_log_marl_SOXL.csv,63,-0.48950627477081543,-0.48950627477081543,-2.9083836745137996,0.3968253968253968,-0.009476966648695176,0.051727075396733435
StepF,sim,C:/work/apex_work/runs/20260225_101918/output/stepF/sim/stepF_equity_marl_SOXL.csv,63,-0.48950627477081543,-0.48950627477081543,-2.9083836745137996,0.3968253968253968,-0.009476966648695176,0.051727075396733435
