split,date_start,date_end,rows,missing_total,close_min,close_max,volume_min,volume_max
train,2014-01-03,2021-12-31,2014,0,1.027999997138977,72.98999786376953,1351500.0,79462500.0
test,2022-01-03,2022-04-01,63,0,27.90999984741211,72.0999984741211,15794800.0,68456500.0
